Time  FPS FVS
0.000000e+000 0.000000 0.000000
3.000000e+001 0.000000 6010.143599
6.000000e+001 0.000000 6010.143599
9.000000e+001 0.000000 6010.143599
1.200000e+002 0.000000 6010.143599
1.500000e+002 0.000000 6010.143599
1.800000e+002 1321.506759 6010.143599
2.100000e+002 1321.506759 6010.143599
2.400000e+002 1321.506759 6010.143599
2.700000e+002 1321.506759 6010.143599
3.000000e+002 1321.506759 6010.143599
3.300000e+002 1321.506759 6010.143599
3.600000e+002 1321.506759 6010.143599
3.650000e+002 1321.506759 6010.143599
3.900000e+002 1321.506759 2368.075496
4.200000e+002 1321.506759 2368.075496
4.500000e+002 1321.506759 2368.075496
4.800000e+002 1321.506759 2368.075496
5.100000e+002 1321.506759 2368.075496
5.400000e+002 998.540795 2368.075496
5.700000e+002 998.540795 2368.075496
6.000000e+002 998.540795 2368.075496
6.300000e+002 998.540795 2368.075496
6.600000e+002 998.540795 2368.075496
6.900000e+002 998.540795 2368.075496
7.200000e+002 998.540795 2368.075496
7.300000e+002 998.540795 2368.075496
7.500000e+002 998.540795 1749.036141
7.800000e+002 998.540795 1749.036141
8.100000e+002 998.540795 1749.036141
8.400000e+002 998.540795 1749.036141
8.700000e+002 998.540795 1749.036141
9.000000e+002 899.582208 1749.036141
9.300000e+002 899.582208 1749.036141
9.600000e+002 899.582208 1749.036141
9.900000e+002 899.582208 1749.036141
1.020000e+003 899.582208 1749.036141
1.050000e+003 899.582208 1749.036141
1.080000e+003 899.582208 1749.036141
1.094500e+003 899.582208 1749.036141
