Time FPS-0 FVS-0
0.000000e+000 1.216909 320044.036219
7.300000e+001 1.216909 695093.289886
1.460000e+002 1.216909 695093.289886
2.190000e+002 0.724324 695093.289886
2.920000e+002 0.724324 695093.289886
3.650000e+002 0.724324 695093.289886
4.380000e+002 0.724324 65431.733925
5.110000e+002 0.724324 65431.733925
5.840000e+002 0.034626 65431.733925
6.570000e+002 0.034626 65431.733925
7.300000e+002 0.034626 65431.733925
8.030000e+002 0.034626 49544.294439
8.760000e+002 0.034626 49544.294439
9.490000e+002 0.019925 49544.294439
1.022000e+003 0.019925 49544.294439
1.095000e+003 0.019925 49544.294439
1.168000e+003 0.019925 183750.880318
1.241000e+003 0.019925 183750.880318
1.314000e+003 0.017134 183750.880318
1.387000e+003 0.017134 183750.880318
1.460000e+003 0.017134 183750.880318
1.533000e+003 0.017134 64887.968782
1.606000e+003 0.017134 64887.968782
1.679000e+003 0.015216 64887.968782
1.752000e+003 0.015216 64887.968782
1.824500e+003 0.015216 64887.968782
