species,time,ssb,rec,model
Small planktivorous fish,0,1172.18577074476,97119.3719008977,dummy
Small planktivorous fish,0.493150684931507,952.452173529037,62813.4889436291,dummy
Small planktivorous fish,1.47945205479452,1136.93429472236,2732.25007403493,dummy
Small planktivorous fish,2.46575342465753,1014.82282217644,1702.60906697615,dummy
Shallow piscivorous fish,0,7661.53886897387,294733.48383958,dummy
Shallow piscivorous fish,0.0821917808219178,3063.60135710796,743671.584650311,dummy
Shallow piscivorous fish,1.06849315068493,1692.90223776,74235.0420651587,dummy
Shallow piscivorous fish,2.05479452054795,1402.90871223118,49085.6028912766,dummy
