Time FPS-0 FVS-0
0.000000e+000 1.216909 320044.036219
3.000000e+001 1.216909 694886.716323
6.000000e+001 1.216909 694886.716323
9.000000e+001 1.216909 694886.716323
1.200000e+002 1.216909 694886.716323
1.500000e+002 1.216909 694886.716323
1.800000e+002 0.724319 694886.716323
2.100000e+002 0.724319 694886.716323
2.400000e+002 0.724319 694886.716323
2.700000e+002 0.724319 694886.716323
3.000000e+002 0.724319 694886.716323
3.300000e+002 0.724319 694886.716323
3.600000e+002 0.724319 694886.716323
3.650000e+002 0.724319 694886.716323
3.900000e+002 0.724319 65428.754221
4.200000e+002 0.724319 65428.754221
4.500000e+002 0.724319 65428.754221
4.800000e+002 0.724319 65428.754221
5.100000e+002 0.724319 65428.754221
5.400000e+002 0.034622 65428.754221
5.700000e+002 0.034622 65428.754221
6.000000e+002 0.034622 65428.754221
6.300000e+002 0.034622 65428.754221
6.600000e+002 0.034622 65428.754221
6.900000e+002 0.034622 65428.754221
7.200000e+002 0.034622 65428.754221
7.300000e+002 0.034622 65428.754221
7.500000e+002 0.034622 53624.990704
7.800000e+002 0.034622 53624.990704
8.100000e+002 0.034622 53624.990704
8.400000e+002 0.034622 53624.990704
8.700000e+002 0.034622 53624.990704
9.000000e+002 0.019906 53624.990704
9.300000e+002 0.019906 53624.990704
9.600000e+002 0.019906 53624.990704
9.900000e+002 0.019906 53624.990704
1.020000e+003 0.019906 53624.990704
1.050000e+003 0.019906 53624.990704
1.080000e+003 0.019906 53624.990704
1.094500e+003 0.019906 53624.990704
